step1_color,step2_color,step3_color,Rating,group,variable,Tm,Name
#dfc27d,#018571,#80cdc1,2,D,v2,2020/12/01 9:23:28 PM MEZ,"Herleitung, Konzeption und Endergebnis sind sehr gelungen! Was meines Erachtens aber leider stark abfällt ist die Typografie. Insbesondere der Bold-Schriftschnitt passt in keinster Weise zur gesamten visuellen Identität. Das wunderbar feingliedrige Logo wird so in allen Logovarianten förmlich erschlagen und verkommt zur Randnotiz. Des Weiteren ist der Unterschied zwischen Bold-Schriftschnitt und Regular-Schriftschnitt viel zu groß, was besonders in den Beispielcovern zu einer unstimmigen Darstellung führt. Ich würde statt einem extrem dicken Schriftschnitt auf einen moderat dickeren Schriftschnitt setzen (also statt bold/black eher medium). Im reinen ""ISR"" Logo würde ich die Schriftgröße außerdem reduzieren und dafür das ""Quadrat"" vergrößeren. Die Schrift hat keinen besonderen Wiedererkennungswert und das Logo wird bei kleinem Druck, z. B. auf einer Visitenkarte, verschwimmen. Alles in allem aber eine tolle Arbeit."
#dfc27d,#018571,#80cdc1,2,D,v3,2020/12/15 6:47:11 AM MEZ,Mir gefallen die Entwürfe für das Logo (Quadrat im Quadrat mit Mustern des Algorithmus) extrem gut! Toll! Allerdings finde ich die Farbpalette, mit der gearbeitet wird eher ungefällig – sowohl die einzelnen Farben als auch die Kombination der Farben nebeneinander. Bislang würde ich das Ganze nur in grau oder vielleicht in dem Rotton nutzen wollen.
#dfc27d,#018571,#80cdc1,2,D,v4,2021/01/02 6:32:04 PM MEZ,Grundsätzlich begrüße ich die Neugestaltung des ISR-Logos mit seinen abstrahierten Formen, welche symbolisch für die Planungsräume Stadt und Umgebung (Region) und deren dynamische Entwicklungen stehen. Zur Verdeutlichung des (un-)mittelbaren funktionalen Gefüges und Zusammenwirkens einer Region und den darin liegenden Städten (in der hiesigen Metropolregion Berlin und Brandenburg in besonderem Maße erleb- und erforschbar), schlage ich zur Verdeutlichung dieses Nexus ergänzend vor, die dynamischen Formen beider Teilbereiche des Logos zumindest teilweise in einander fließen zu lassen. Die komplexen Zusammenhänge zwischen Stadt- und Region zu erkennen, mitzudenken und weiterzuentwickeln ist genauso im Sinne der Disziplin Stadt- und Regionalplanung, wie die gesonderte und fokussierte Planung auf die beiden Teilbereiche.
#dfc27d,#018571,#80cdc1,2,D,v5,2021/01/05 11:22:05 AM MEZ,"Die Herleitung und Idee des Logos folgen einem klassischen Verständnis der Abgrenzung von Stadt und Region - ist das noch zeitgemäß, bzw. gilt es nicht vielmehr den Vernetzungsgedanken und das ganzheitliche, integrierte Verständnis des ISR zu verdeutlichen? 
Schwierig finde ich, dass das Logo sehr kleinteilig mit den Pünktchen, Kästchen, Linien gestaltet ist - wie sieht das in gedruckter Form aus? Bis zu welcher Größe kann das Logo runtergezoomt werden, um diese Kleinteiligkeit (auch bei nicht optimalen Druckern - Homeoffice!) noch erkennen zu können? 
Schön finde ich die Idee, das Gestaltungsprinzip des Logos auch als Element für Urkunden, Plakate etc. zu verwenden - die hierzu vorgeschlagenen Entwürfe sind sehr gelungen. "
#dfc27d,#018571,#80cdc1,2,D,v6,2021/01/06 3:09:06 PM MEZ,"-gewisse ähnlichkeiten mit dem Logo des Städtbau Instituts der Uni Stuttgart. 
- In der Abstraktion noch zu komplex, eine weitere reduktion abstrahierung würde dem Logo gut tun 
---> 4) Wortmarke mit eingearbeiten signes zeigt die Reduktion (jedoch ähnelt dies stark uni stuttgart) 
- Herkunft ist nicht für alle direkt nachvollziehbar 
- Studentischer Wettbewerb zur erstellung einer Coorperate Identity des ISR könnte ja auch eine Idee sein"
#dfc27d,#018571,#80cdc1,2,D,v7,2020/11/24 1:26:28 PM MEZ,Logische Herleitung und Formensprache, auch Logovarianten stehen gut! Einzig Spationierung/Ausrichtung Logo-Quadrat und Schrift sollte im nächsten Schritt noch einmal feingezogen werden (einheitlicher Abschluss Quadrat und Schrift oben und unten). Farbvarianten erschließen sich noch nicht ganz (woher/für was sind unterschiedliche Varianten gedacht). Weißer Kasten um Überschrift auf Urkunde evtl etwas unglücklich? Aber insgesamt top und Logo-Variate in Bewegung fetzt!
#dfc27d,#018571,#80cdc1,2,D,v8,2020/11/25 9:26:38 AM MEZ,"Sehr geehrte Damen und Herren,

ich möchte mich nochmals kurz melden. Nochmal vielen Dank für die tollen Vorschläge.
Mir kam beim Erstellen einer Präsentation der Gedanke, es könnte sinnvoll sein, Variante(n) des Designs zu entwickeln, welche die Zugehörigkeit zur TU Berlin mit einbeziehen.
Das wäre womöglich noch eine gute Ergänzung.

Vielen Dank für Ihre Mühen und herzliche Grüße,

B."
#dfc27d,#a6611a,#dfc27d,3,D,v9,2020/11/24 12:24:27 PM MEZ,"ich finde den entwurf spannend. nur die sache mit den ""unendlich"" vielen logos sollte vielleicht nochmal überdacht werden. ein ähnliches prinzip verfolgte das ""mit media lab"" in boston. nach einiger zeit stellte man fest, dass niemand mehr wusste, welches logo sie/er eigentlich benutzen sollte und auch die besucher verwirrt waren über die vielen ähnlichen aber doch unterschiedlichen logos. das hat eher zu einer schwächung als stärkung geführt. die möglichen logos wurden in einem zweiten schritt reduziert und nochmal klarer gestaltet."
#dfc27d,#a6611a,#dfc27d,3,D,v10,2020/11/24 1:38:38 PM MEZ,"Ich finde das Logo zu kleinteilig und damit zu verspielt und nicht prägnant genug. 

Vielleicht kann man mit einer einfacheren bzw. klareren Formensprache arbeiten, bspw. weniger kleine Quadrate in der Mitte des Quadrates und im Rand des großen Quadrates, ggf. nur eine Schraffur im Rand... "
#dfc27d,#a6611a,#dfc27d,3,E,v1,2020/11/24 3:40:03 PM MEZ,Die teils willkürlich wirkende Fettung von Worten im Titel gestaltet das Lesen recht unruhig.
#dfc27d,#a6611a,#dfc27d,3,E,v2,2020/11/25 11:35:30 AM MEZ,Bitte keinen Hintergrund (auf den Dokumenten, hier in den Urkunden), und die sich bewegenenden und verändernden Regionalpunkte sehen aus wie Magnetfelder und sind etwas verwirrend. 
#dfc27d,#a6611a,#a6611a,0,E,v3,2020/11/24 12:49:28 PM MEZ,"Das Logo mit den beweglichen Teilchen erinnern leider an ""Streptokokken unterm Mikroskop"""
#dfc27d,#a6611a,#a6611a,0,E,v4,2020/11/24 2:26:16 PM MEZ,das Logo müsste insgesamt einfacher sein. Lieber klare form als detaillierte struktur. konzeptionell finde ich die Darstellung einer klar trennbaren Stadt im gegensatz zu einer klar definierten Region/Land kritisch.
#dfc27d,#a6611a,#a6611a,0,E,v5,2020/11/24 3:07:03 PM MEZ,Die Idee hinter dem Entwurf ist prinzipiell nachvollziehbar, das Ergebnis sieht gestalterisch jedoch katastrophal aus. Gerade in kleineren Darstellungsformen nicht wirklich erkennbar, bloß ein wirrer Punktebrei.
#dfc27d,#a6611a,#a6611a,0,E,v6,2020/11/24 7:16:51 PM MEZ,"Das äußere Quadrat sieht in der unscharfen Variante eher aus wie Wasser. Zudem finde ich die Schriftart nicht sehr passend gewählt, da sie keinen hohen Wiedererkennungswert, sondern eher den Charakter einer simplen ""Alltagsschrift"" besitzt, vielleicht wäre es besser sich mit einem Experten für Kommunikationsdesign zusammenzusetzen (sieht bis jetzt ein bisschen nach einer 2 Tages-Arbeit aus, aber nicht nach mehr)"
#dfc27d,#a6611a,#a6611a,0,E,v7,2020/11/25 9:56:09 AM MEZ,"Ich finde den Sprung von dem Kreis zum Quadrat absolut nicht rechtfertigt. Das Quadrat ist das entfernteste von einer Stadt/Region, die organisch in einem Kreis wächst. Auch ein Kreis kann sich Typographisch einfügen. 
Außerdem finde ich die differenzierung von Bold und nicht bold nur für zwei Wörter sehr unötig und verwirrend. Das gibt dann eher den wörtern die nicht in BOold sind wichtigkeit, das sie die Ausnahme sind. 
Außerdem finde ich es schade das zumindest nicht im Ansatz die neue Leitlinie des Flat Design, wie z.B. VW und BMW sie jetzt angestoßen haben. 
Ich würde bei den Urkunden als Hintergrund der Schrift Farbe sehen als nur ein Weißen Rahmen
Bin aber sonst schwer beeindruckt von der Seite, krasse Leistung!! "
#dfc27d,#a6611a,#a6611a,0,E,v8,2020/11/25 10:09:59 AM MEZ,"Ich finde, der Entwurf wirkt etwas altmodisch. 

Das alte Layout der Publikationen hat mir besser gefallen. Das Neue erinnert mich an die Schwammtechnik, mit der in den 90er und 00er Jahren Zimmerwände gestaltet wurden."
#dfc27d,#a6611a,#a6611a,0,E,v9,2020/11/25 10:32:14 AM MEZ,"Das Logo in sämtlichen Entwürfen ist viel zu detailliert gestaltet, um den Nutzungszweck zu erfüllen. Eine Einbindung – insbesondere auf Visitenkarten oder in Kopfzeilen von Dokumenten ist schwer vorstellbar.

Auch hinsichtich der Verwendung des Designs von ""Höhenlinien"" auf der Urkunde und den Publikationen rate ich ab. Diese Gestaltung wirkt ganz und gar nicht zeitlos und könnte sich in den nächsten Jahren bereits überholt haben. Gerade für ein Institut einer Universität scheint eine gewisse Beständigkeit in der visuellen Darstellung allerdings geboten. Weniger ist doch oft mehr.

Inhaltlich kann ich mich mit der Herleitung des Logos anfreunden, aber Raum im stadtplanerischen Sinne auf ein Viereck als geometrische Form herunterzubrechen erscheint als Denkweise sehr anachronistisch und überholt. So ist Stadt- und Regionalplanung doch deutlich mehr als Städtebau und Siedlungsentwicklung."
#dfc27d,#a6611a,#a6611a,0,E,v10,2020/11/25 4:59:47 PM MEZ,sieht voll nach 80er jahre aus. nicht sehr ästhetisch
#dfc27d,#a6611a,#a6611a,0,F,v1,2020/12/16 10:25:13 PM MEZ,Wieso sind Alogorithmen das Thema? Das ISR plant meines Wissens nach bisher nicht sonderlich viel mit Algorithmen, eher das Einstein Center. Zudem wäre ein Logo besser, dass beständig ist, also ohne Veränderungen
#dfc27d,#a6611a,#a6611a,0,F,v2,2021/01/06 3:15:27 PM MEZ,"Das Video ist super, jedoch sollten nach dieser Beteiligung die Ausarbeitung des CI des ISR mit einem Bericht an einen Kommunikations- oder Grafikdesigner zur finalen Erstellung übergeben werden, da

- das Logo viel zu kleinteilig/vielfältig ist und keine Markenidentität entsteht, es sieht eher aus wie eine Datenvisualisierung, eine Bildmarke des ISR entsteht durch Prägnanz und Einfachheit
- die Typographie harmoniert nicht mit dem ""TheSans"" des TUBerlin-Logo und sollte nicht in Konkurrenz dazu treten (siehe Visitenkarte), es sollte eher ergänzend wirken und gleichzeitig für sich selbst stehen können
- das Logo der Uni Stuttgart relativ ähnlich erscheint, aber deutlich besser aussieht, gerade beim dortigen Städtebau-Institut kann man sehen, wie ein Insitutslogo funktionieren kann: www.si.uni-stuttgart.de
- die Themen ""Stadt"" und ""Region"" als dualistische Muster abzubilden, finde ich nicht zeitgemäß als Institutsidentität, das ISR steht eher für das integrierende/moderierende Projektarbeit, der Eindruck von zwei Themen im Logo sollte aufgehoben werden
- die Idee des Musters und der Bewegung ist spannend, das Muster sollte aber eher aus einer Vervielfachung eines einfachen Signet entstehen und nicht additiv gedacht werden
- die Zusammenstellung von Text und Mustern ist viel zu unübersichtlich, eine einfache Bildmarke (Typo ODER Grafik)
- das Logo muss nicht in vielen Farben erscheinen können, sondern es sollte einfach schwarz und weiß gut funktionieren/wiedererkennbar sein
"
#dfc27d,#a6611a,#a6611a,0,F,v3,2021/01/06 3:46:33 PM MEZ,"Der Entwurf finde ich als Ganzes nicht ansprechbar.

Das schönste sind die Urkunden. Das sieht gut aus. Dort ist auch das Logo gut. Keine 2 Quadrate, nur 1 bewegliches Bild.

Ich finde, dass das Logo nicht zu TUB Logo passt und es könnte irgendwie mehr passen, wenn man Elemente aus dem Logo nimmt. Das sieht deswegen komisch an der Visitenkarte.

Farbigkeit sollte krasser sein. Das hier ist gar nicht zeitgenössisch. 

Stadt und Region sollten mehr verbunden sein.
Stadt sollte nicht in der Mitte stehen. Wobei Region dadurch ‚außen‘ steht.
Die beide Sachen denkt man mehr zusammen und sollte auch so dargestellt sein.

Stadt und Region sollten ‚aus dem gleichen Stoff‘ gemacht werden. Nicht eine aus Kreuzen und andere auch Punkten. Die 2 Schrafuren sollten gleich sein: Unterschied zwischen Stadt und Region ist eine Frage der Körnigkeit, aber auch eine Frage des Maßstabs – große Punkte und kleine Punkte (wobei die Großen eigentlich Region repräsentieren würden, da man dort mit größeren Gebieten zu tun hat/plant). Unterschied könnte auch durch Farbe zB hergestellt sein. Wo sich Farben mischen, ist das Institut. Oder es könnten zwei Objekte sein, die sich verbinden: Linie und Kreis, aber kreativer gedacht…

Ich finde es nicht notwendig die 3te Größe Variante zu haben. Die ‚größte‘ ist nicht viel größer. Das größte Logo finde ich am gelinsten von allen Sachen. Wobei die Stadt und Region da getrennt sind. Vielleicht gerade deswegen.

Ist es eigener Font? Ist das extra für ISR gemacht?"
#dfc27d,#a6611a,#a6611a,0,F,v4,2021/01/06 4:02:31 PM MEZ,"Font und Satz des Institutsname sitzt nicht. Komplexe und letztlich nicht nachvollziehbare Herleitung. Mehrwert des Algoritmus bei letztlich statischer Nutzung eines Logos nicht zielführend. Logo bliebt gedanklich nicht ""hängen"". Professionelle Aufbereitung der Inhalte! "
#dfc27d,#a6611a,#a6611a,0,F,v5,2021/01/06 4:17:53 PM MEZ,"Die Website ist gut gemacht!
Das Logo an sich wirkt sehr wie ein Chip/eine Platine. Ich denke genau so sollte Stadtentwicklung nicht wirken…

Dass die Bildmarke flexibel/dynamisch ist, kann man machen. Aber bei diesem Logo ist alles dynamisch:
_ 4 verschiedene „Aggregatszustände“ 
_ 5 verschiedene Farben
_ 2 Sprachen
_ linksbündig und rechtsbündig
_ und auf den Anwendungen dann noch mal ganz anders (siehe Urkunde)

Für mich wirkt es eher altbacken und in keinster Weise innovativ."
